,Date  ,Open,High ,Low ,Close
70,15-Sep-22,"9,000.00","9,073.20","8,870.10","8,885.25"
71,16-Sep-22,"8,890.00","8,919.00","8,701.00","8,730.30"
72,19-Sep-22,"8,769.95","8,815.20","8,601.15","8,696.40"
73,20-Sep-22,"8,725.00","8,939.00","8,713.00","8,901.55"
74,21-Sep-22,"8,904.90","8,938.00","8,799.00","8,817.50"
75,22-Sep-22,"8,800.00","9,045.05","8,744.60","8,990.65"
76,23-Sep-22,"8,965.00","9,059.00","8,836.00","8,857.10"
77,26-Sep-22,"8,744.00","8,787.15","8,511.00","8,534.80"
78,27-Sep-22,"8,581.00","8,643.55","8,282.65","8,336.45"
79,28-Sep-22,"8,279.90","8,480.00","8,220.00","8,422.45"
80,29-Sep-22,"8,500.00","8,557.95","8,340.00","8,428.60"
81,30-Sep-22,"8,397.00","8,588.00","8,383.00","8,556.45"
82,03-Oct-22,"8,480.00","8,524.60","8,300.00","8,312.50"
83,04-Oct-22,"8,488.00","8,508.00","8,424.90","8,489.30"
84,06-Oct-22,"8,590.00","8,665.00","8,533.00","8,575.95"
85,07-Oct-22,"8,614.90","8,649.95","8,533.00","8,550.05"
86,10-Oct-22,"8,450.00","8,625.00","8,425.00","8,584.20"
87,11-Oct-22,"8,660.00","8,685.00","8,480.05","8,509.90"
88,12-Oct-22,"8,509.90","8,549.00","8,330.00","8,360.65"
89,13-Oct-22,"8,380.65","8,424.85","8,293.60","8,312.85"
90,14-Oct-22,"8,500.30","8,565.00","8,415.00","8,465.55"
91,17-Oct-22,"8,000.00","8,000.00","7,735.00","7,782.80"
92,18-Oct-22,"7,760.00","7,770.00","7,168.40","7,204.65"
93,19-Oct-22,"7,190.00","7,445.00","7,190.00","7,314.20"
94,20-Oct-22,"7,314.20","7,390.00","7,233.15","7,374.75"
95,21-Oct-22,"7,410.00","7,440.00","7,226.00","7,261.30"
96,24-Oct-22,"7,360.00","7,365.00","7,272.00","7,309.30"
97,25-Oct-22,"7,344.95","7,344.95","7,175.25","7,186.40"
98,27-Oct-22,"7,219.85","7,248.00","7,000.00","7,023.10"
99,28-Oct-22,"7,021.40","7,025.30","6,840.00","6,875.60"
100,31-Oct-22,"6,910.00","7,091.95","6,900.00","6,995.85"
101,01-Nov-22,"7,060.00","7,060.00","6,926.20","6,955.80"
102,02-Nov-22,"6,999.95","7,048.00","6,925.00","6,943.20"
103,03-Nov-22,"6,943.00","6,943.00","6,880.15","6,892.65"
104,04-Nov-22,"6,920.00","6,941.00","6,852.25","6,908.05"
105,07-Nov-22,"6,972.00","7,040.00","6,951.30","6,976.45"
106,09-Nov-22,"7,025.00","7,045.00","6,977.00","6,999.50"
107,10-Nov-22,"6,990.00","6,990.25","6,893.00","6,925.70"
108,11-Nov-22,"7,095.50","7,095.70","6,941.00","6,962.50"
109,14-Nov-22,"7,030.00","7,070.70","6,962.00","6,975.25"
110,15-Nov-22,"7,008.00","7,045.00","6,960.00","7,000.65"
111,16-Nov-22,"7,026.00","7,026.00","6,931.55","6,946.35"
112,17-Nov-22,"6,938.00","6,939.00","6,800.00","6,843.20"
113,18-Nov-22,"6,888.00","6,969.95","6,800.00","6,894.60"
114,21-Nov-22,"6,899.00","6,910.85","6,834.00","6,855.75"
115,22-Nov-22,"6,865.00","6,883.90","6,811.00","6,826.75"
116,23-Nov-22,"6,850.00","6,860.00","6,707.00","6,732.80"
117,24-Nov-22,"6,750.70","6,793.90","6,601.00","6,618.40"
118,25-Nov-22,"6,666.00","6,811.00","6,619.00","6,779.95"
119,28-Nov-22,"6,785.55","6,849.00","6,780.00","6,796.95"
120,29-Nov-22,"6,796.00","6,829.90","6,774.35","6,781.75"
121,30-Nov-22,"6,810.00","7,050.00","6,781.00","7,010.25"
122,01-Dec-22,"7,089.80","7,195.00","7,050.00","7,071.65"
123,02-Dec-22,"7,071.65","7,081.65","6,950.00","7,033.95"
124,05-Dec-22,"7,040.00","7,047.30","6,950.00","6,961.40"
125,06-Dec-22,"6,950.00","6,950.05","6,880.00","6,884.65"
126,07-Dec-22,"6,884.00","6,930.00","6,822.00","6,836.70"
127,08-Dec-22,"6,840.00","6,887.45","6,822.00","6,830.35"
128,09-Dec-22,"6,864.55","6,868.80","6,731.10","6,745.75"
129,12-Dec-22,"6,742.00","6,745.00","6,680.00","6,692.25"
130,13-Dec-22,"6,718.00","6,734.00","6,625.00","6,632.60"
131,14-Dec-22,"6,659.95","6,744.40","6,611.00","6,621.20"
132,15-Dec-22,"6,645.00","6,687.70","6,545.00","6,550.35"
133,16-Dec-22,"6,535.10","6,544.80","6,401.00","6,429.40"
134,19-Dec-22,"6,430.00","6,439.95","6,335.00","6,353.30"
135,20-Dec-22,"6,354.00","6,394.00","6,300.00","6,314.25"
136,21-Dec-22,"6,355.60","6,374.00","6,181.20","6,202.60"
137,22-Dec-22,"6,240.00","6,268.00","6,025.00","6,050.80"
138,23-Dec-22,"6,015.00","6,019.95","5,825.00","5,837.60"
139,26-Dec-22,"5,840.00","6,290.00","5,709.05","6,252.65"
140,27-Dec-22,"6,349.70","6,495.00","6,312.00","6,431.65"
141,28-Dec-22,"6,365.05","6,417.00","6,307.95","6,332.05"
142,29-Dec-22,"6,280.00","6,295.00","6,228.00","6,256.40"
143,30-Dec-22,"6,337.00","6,440.00","6,254.00","6,285.90"
144,02-Jan-23,"6,317.35","6,388.80","6,261.20","6,300.40"
145,03-Jan-23,"6,321.00","6,446.00","6,275.00","6,416.65"
146,04-Jan-23,"6,448.75","6,478.45","6,352.00","6,369.55"
147,05-Jan-23,"6,384.95","6,396.85","6,270.00","6,287.45"
148,06-Jan-23,"6,315.00","6,315.00","6,185.00","6,193.90"
149,09-Jan-23,"6,270.00","6,323.20","6,206.00","6,232.00"
150,10-Jan-23,"6,232.00","6,235.00","6,165.00","6,199.80"
151,11-Jan-23,"6,230.80","6,289.60","6,202.00","6,216.80"
152,12-Jan-23,"6,217.60","6,231.15","6,131.75","6,196.65"
153,13-Jan-23,"6,225.00","6,261.55","6,190.00","6,242.25"
154,16-Jan-23,"6,251.00","6,299.00","6,221.50","6,252.85"
155,17-Jan-23,"6,277.00","6,280.00","6,225.00","6,254.75"
156,18-Jan-23,"6,270.00","6,285.00","6,226.60","6,262.90"
157,19-Jan-23,"6,283.00","6,424.95","6,251.05","6,301.65"
158,20-Jan-23,"6,301.00","6,398.80","6,283.55","6,378.30"
159,23-Jan-23,"6,412.00","6,688.00","6,365.00","6,655.45"
160,24-Jan-23,"6,744.00","6,819.95","6,655.80","6,698.85"
161,25-Jan-23,"6,678.00","6,755.00","6,576.90","6,597.20"
162,27-Jan-23,"6,700.00","6,750.00","6,475.00","6,664.35"
163,30-Jan-23,"6,655.00","6,699.00","6,545.00","6,578.15"
164,31-Jan-23,"6,580.00","6,650.00","6,510.05","6,632.70"
165,01-Feb-23,"6,666.00","6,745.95","6,381.95","6,597.15"
166,02-Feb-23,"6,619.85","6,679.00","6,552.60","6,588.25"
167,03-Feb-23,"6,621.20","6,642.00","6,482.00","6,571.15"
168,06-Feb-23,"6,575.00","6,693.75","6,510.00","6,669.20"
169,07-Feb-23,"6,700.00","6,733.20","6,624.00","6,692.50"
170,08-Feb-23,"6,726.00","6,824.90","6,670.00","6,697.85"
171,09-Feb-23,"6,700.00","6,735.00","6,640.00","6,685.15"
172,10-Feb-23,"6,710.00","6,735.00","6,667.55","6,683.65"
173,13-Feb-23,"6,685.00","6,700.00","6,550.00","6,571.95"
174,14-Feb-23,"6,580.10","6,625.00","6,562.20","6,596.80"
175,15-Feb-23,"6,610.00","6,660.05","6,560.05","6,649.95"
176,16-Feb-23,"6,650.00","6,792.00","6,645.10","6,688.75"
177,17-Feb-23,"6,670.00","6,749.00","6,625.00","6,662.90"
178,20-Feb-23,"6,666.05","6,720.00","6,625.00","6,666.90"
179,21-Feb-23,"6,699.00","6,712.20","6,645.25","6,661.75"
180,22-Feb-23,"6,610.00","6,619.90","6,500.00","6,517.95"
181,23-Feb-23,"6,510.00","6,524.90","6,415.00","6,484.50"
182,24-Feb-23,"6,514.00","6,525.00","6,440.00","6,512.85"
183,27-Feb-23,"6,500.00","6,509.90","6,350.00","6,358.70"
184,28-Feb-23,"6,380.00","6,390.00","6,089.00","6,129.25"
185,01-Mar-23,"6,128.85","6,243.95","6,123.00","6,194.60"
186,02-Mar-23,"6,218.00","6,237.15","6,131.30","6,150.55"
187,03-Mar-23,"6,181.00","6,221.95","6,150.00","6,176.45"
188,06-Mar-23,"6,239.85","6,325.00","6,220.85","6,237.65"
189,08-Mar-23,"6,200.00","6,357.80","6,160.40","6,340.20"
190,09-Mar-23,"6,370.00","6,379.95","6,260.00","6,284.55"
191,10-Mar-23,"6,223.10","6,320.00","6,181.00","6,249.30"
192,13-Mar-23,"6,249.30","6,295.00","6,120.20","6,130.95"
193,14-Mar-23,"6,161.65","6,189.90","5,919.00","6,062.50"
194,15-Mar-23,"6,100.00","6,194.00","6,058.00","6,088.05"
195,16-Mar-23,"6,088.00","6,139.90","6,031.00","6,115.10"
196,17-Mar-23,"6,149.95","6,198.40","6,139.75","6,159.00"
197,20-Mar-23,"5,971.00","6,199.00","5,971.00","6,037.95"
198,21-Mar-23,"6,068.15","6,170.00","6,049.00","6,089.70"
199,22-Mar-23,"6,120.15","6,149.85","6,034.50","6,055.40"
200,23-Mar-23,"6,050.00","6,073.30","6,006.00","6,040.85"
201,24-Mar-23,"6,051.15","6,085.00","5,970.50","6,000.70"
202,27-Mar-23,"6,005.00","6,029.80","5,942.00","5,956.40"
203,28-Mar-23,"5,986.20","5,986.20","5,882.55","5,926.15"
204,29-Mar-23,"5,929.00","5,976.00","5,900.05","5,956.05"
205,31-Mar-23,"5,985.85","6,039.95","5,946.00","5,959.10"
