,Date  ,Open,High,Low,Close,Total Traded Quantity  
94,14-Sep-22,794.4,811.35,794.4,803.05,"1,04,94,713"
95,15-Sep-22,805.5,806.5,787.65,790.0,"59,96,899"
96,16-Sep-22,786.05,792.6,776.1,789.3,"1,14,67,351"
97,19-Sep-22,789.3,802.0,786.7,798.1,"1,14,27,799"
98,20-Sep-22,806.8,816.2,802.0,812.75,"82,74,079"
99,21-Sep-22,809.25,816.0,803.35,806.55,"65,67,084"
100,22-Sep-22,805.0,808.8,784.3,789.2,"78,04,275"
101,23-Sep-22,789.0,789.0,764.25,768.6,"1,02,78,805"
102,26-Sep-22,759.0,763.5,741.0,742.6,"1,10,90,327"
103,28-Sep-22,733.9,733.9,707.7,716.45,"1,31,70,668"
104,29-Sep-22,722.25,730.8,711.0,719.0,"1,20,90,981"
105,30-Sep-22,720.0,737.75,714.4,733.2,"95,36,017"
106,03-Oct-22,731.0,742.0,721.05,722.75,"64,05,645"
107,04-Oct-22,733.4,744.5,732.0,742.8,"54,38,934"
108,06-Oct-22,750.0,760.4,746.0,755.1,"93,76,433"
109,07-Oct-22,753.8,757.5,742.3,755.7,"75,00,540"
110,10-Oct-22,748.0,778.7,745.0,776.85,"1,41,06,654"
111,11-Oct-22,780.0,795.5,774.5,785.55,"1,59,53,495"
112,12-Oct-22,789.5,810.8,783.45,808.7,"2,12,28,018"
113,13-Oct-22,807.0,814.95,795.6,802.0,"1,30,24,911"
114,14-Oct-22,815.55,820.7,794.45,800.5,"82,20,645"
115,17-Oct-22,803.5,817.0,797.1,814.15,"94,63,827"
116,18-Oct-22,820.0,822.9,811.55,816.35,"84,70,882"
117,19-Oct-22,818.45,838.45,816.9,829.85,"1,08,68,663"
118,20-Oct-22,824.9,831.9,816.95,825.85,"1,18,13,817"
119,24-Oct-22,916.0,918.45,905.0,909.45,"30,85,307"
120,25-Oct-22,905.7,910.6,891.6,902.85,"1,31,87,308"
121,27-Oct-22,909.0,919.95,901.25,915.15,"1,19,67,044"
122,31-Oct-22,908.0,918.0,902.1,906.0,"90,38,777"
123,01-Nov-22,904.0,904.0,869.0,871.75,"2,91,91,921"
124,02-Nov-22,875.0,877.0,861.6,863.55,"1,10,29,140"
125,03-Nov-22,857.9,880.4,856.0,864.05,"1,01,85,978"
126,04-Nov-22,869.0,872.9,862.3,868.1,"73,23,879"
127,07-Nov-22,876.25,876.8,861.3,872.95,"99,31,261"
128,09-Nov-22,875.05,880.75,868.5,873.7,"1,01,90,209"
129,10-Nov-22,843.7,856.7,841.0,843.7,"1,89,56,575"
130,11-Nov-22,847.0,854.7,844.15,850.7,"1,93,29,819"
131,14-Nov-22,850.5,853.9,847.35,851.0,"69,85,306"
132,15-Nov-22,851.25,859.85,847.2,858.65,"71,24,767"
133,16-Nov-22,858.0,861.6,850.6,855.4,"65,21,854"
134,17-Nov-22,855.4,861.4,852.7,858.2,"49,09,607"
135,18-Nov-22,859.3,865.8,855.0,859.2,"70,65,304"
136,21-Nov-22,860.0,870.95,859.0,870.05,"72,09,207"
137,22-Nov-22,874.95,877.0,868.35,870.05,"55,35,233"
138,23-Nov-22,873.9,877.8,868.75,874.7,"58,61,417"
139,24-Nov-22,878.0,880.8,873.1,878.55,"49,28,778"
140,25-Nov-22,883.0,891.8,880.9,887.75,"76,14,047"
141,28-Nov-22,887.7,899.5,885.3,891.7,"79,28,147"
142,29-Nov-22,894.4,901.9,890.0,892.55,"56,61,158"
143,30-Nov-22,895.0,905.1,885.45,901.25,"1,04,52,798"
144,01-Dec-22,909.5,909.5,899.5,903.85,"70,53,100"
145,02-Dec-22,898.3,907.0,891.4,905.15,"79,88,851"
146,05-Dec-22,907.0,907.3,897.6,899.2,"50,98,164"
147,06-Dec-22,897.5,906.9,895.7,904.65,"53,51,099"
148,07-Dec-22,902.8,918.0,899.85,914.65,"91,03,656"
149,08-Dec-22,915.65,943.95,913.75,939.35,"1,74,66,047"
150,09-Dec-22,944.0,945.0,927.6,933.7,"80,18,981"
151,12-Dec-22,929.9,941.15,922.0,938.65,"76,21,788"
152,13-Dec-22,940.2,949.3,936.6,944.6,"81,36,559"
153,14-Dec-22,945.65,950.15,938.5,942.4,"85,73,479"
154,15-Dec-22,939.75,944.95,932.6,938.15,"73,59,261"
155,16-Dec-22,932.25,945.2,929.1,935.1,"69,26,928"
156,19-Dec-22,935.1,948.1,932.4,946.2,"48,42,336"
157,20-Dec-22,943.75,952.75,940.45,949.75,"95,11,818"
158,21-Dec-22,953.1,958.9,928.0,932.3,"83,68,960"
159,22-Dec-22,936.0,936.0,912.95,919.55,"92,02,717"
160,23-Dec-22,912.0,917.25,904.0,906.6,"63,71,695"
161,26-Dec-22,908.0,932.95,905.1,928.7,"47,64,440"
162,27-Dec-22,932.45,937.8,922.6,932.2,"33,46,083"
163,28-Dec-22,930.95,937.45,921.3,924.7,"59,56,496"
164,29-Dec-22,922.8,944.0,915.8,934.55,"1,22,04,113"
165,30-Dec-22,941.25,943.5,930.35,933.75,"37,04,449"
166,02-Jan-23,932.25,945.0,931.8,941.6,"34,98,198"
