,Date  ,Open,High,Low,Close
100,02-Jan-23,303.0,304.9,293.3,298.15
101,03-Jan-23,298.15,301.0,293.5,294.75
102,04-Jan-23,294.75,296.0,284.55,286.6
103,05-Jan-23,287.95,293.2,277.0,288.75
104,06-Jan-23,290.7,291.0,281.1,283.4
105,09-Jan-23,286.95,294.0,285.2,287.7
106,10-Jan-23,287.95,287.95,274.65,279.2
107,11-Jan-23,281.8,283.4,274.55,276.2
108,12-Jan-23,277.65,280.7,270.05,273.65
109,13-Jan-23,274.9,280.0,272.0,278.7
110,16-Jan-23,281.0,282.2,271.5,272.95
111,17-Jan-23,273.45,283.25,271.75,281.95
112,18-Jan-23,282.5,283.0,277.0,278.7
113,19-Jan-23,276.5,280.45,273.2,277.55
114,20-Jan-23,276.85,277.0,273.4,275.05
115,23-Jan-23,275.45,276.7,271.15,273.2
116,24-Jan-23,274.7,279.3,272.3,274.65
117,25-Jan-23,273.0,273.0,260.95,261.0
118,27-Jan-23,250.0,250.05,247.95,247.95
119,30-Jan-23,235.55,235.55,235.55,235.55
120,31-Jan-23,223.8,223.8,223.8,223.8
121,01-Feb-23,219.0,223.0,212.65,212.65
122,02-Feb-23,202.05,202.05,202.05,202.05
123,03-Feb-23,191.95,191.95,191.95,191.95
124,06-Feb-23,182.35,182.35,182.35,182.35
125,07-Feb-23,173.25,186.0,173.25,173.25
126,08-Feb-23,173.25,181.9,171.0,181.9
127,09-Feb-23,172.8,172.8,172.8,172.8
128,10-Feb-23,164.2,164.2,164.2,164.2
129,13-Feb-23,156.0,163.0,156.0,156.0
130,14-Feb-23,148.2,148.2,148.2,148.2
131,15-Feb-23,140.8,140.8,140.8,140.8
132,16-Feb-23,142.0,147.8,142.0,147.8
133,17-Feb-23,152.45,155.15,152.05,155.15
134,20-Feb-23,158.25,162.9,150.8,162.9
135,21-Feb-23,166.9,171.0,166.2,171.0
136,22-Feb-23,177.0,178.9,162.45,162.45
137,23-Feb-23,156.05,158.65,154.35,154.35
138,24-Feb-23,150.1,156.7,146.65,146.65
139,27-Feb-23,142.05,145.6,139.35,139.35
140,28-Feb-23,135.1,146.3,132.4,146.3
141,01-Mar-23,153.0,153.6,152.15,153.6
142,02-Mar-23,161.25,161.25,161.25,161.25
143,03-Mar-23,169.3,169.3,169.3,169.3
144,06-Mar-23,177.75,177.75,177.75,177.75
145,08-Mar-23,183.1,186.6,175.1,186.6
146,09-Mar-23,195.9,195.9,188.15,195.9
147,10-Mar-23,193.0,205.65,187.25,204.9
148,13-Mar-23,211.7,215.1,211.05,215.1
149,14-Mar-23,217.35,217.35,204.35,204.35
150,15-Mar-23,194.15,214.55,194.15,201.8
151,16-Mar-23,200.5,205.95,195.2,198.7
152,17-Mar-23,203.85,205.3,198.25,199.95
153,20-Mar-23,193.0,196.8,189.95,190.2
154,21-Mar-23,191.9,199.7,186.55,199.7
155,22-Mar-23,203.15,207.7,201.15,204.05
156,23-Mar-23,201.7,211.4,200.3,201.4
157,24-Mar-23,202.55,204.0,192.15,192.6
158,27-Mar-23,195.6,195.6,183.0,183.0
159,28-Mar-23,178.95,183.0,173.85,173.85
160,29-Mar-23,167.0,182.5,166.4,182.5
161,31-Mar-23,190.45,191.6,188.65,191.6
162,03-Apr-23,195.0,195.95,186.0,190.55
163,05-Apr-23,189.0,194.0,186.4,190.1
164,06-Apr-23,191.3,196.95,187.1,192.2
165,10-Apr-23,193.4,197.7,193.0,194.0
166,11-Apr-23,194.3,198.3,193.1,194.0
167,12-Apr-23,194.9,196.9,191.6,192.45
168,13-Apr-23,192.45,193.8,188.1,189.15
169,17-Apr-23,189.3,192.0,187.75,189.45
170,18-Apr-23,190.35,191.5,187.2,188.35
171,19-Apr-23,188.8,189.45,185.2,187.3
172,20-Apr-23,188.5,196.65,187.0,195.8
173,21-Apr-23,200.0,200.5,193.6,199.25
174,24-Apr-23,199.0,203.4,194.4,201.4
175,25-Apr-23,201.0,210.4,200.0,205.65
